placename,species,pig_present_at_site,radtime
B01,White-tailed Deer,no,2.801253449
B01,White-tailed Deer,no,3.324852225
B01,White-tailed Deer,no,3.529928412
B01,White-tailed Deer,no,4.777838827
B01,Wild Pig,NA,0.706858347
B01,White-tailed Deer,yes,1.740965929
B01,Wild Pig,NA,2.186024888
B01,White-tailed Deer,yes,3.826634385
B01,White-tailed Deer,yes,4.625122518
B01,Wild Pig,NA,6.261368692
B01,Wild Pig,NA,0.248709418
B01,White-tailed Deer,yes,1.627519527
B01,Wild Pig,NA,1.876228946
B01,White-tailed Deer,yes,2.713986987
B02,White-tailed Deer,no,5.393067389
B02,White-tailed Deer,no,0.340339204
B02,White-tailed Deer,no,1.448623279
B02,White-tailed Deer,no,2.151118303
B02,White-tailed Deer,no,3.726277953
B02,White-tailed Deer,no,4.891285229
B02,White-tailed Deer,no,5.318890895
B02,White-tailed Deer,no,0.807214779
B02,White-tailed Deer,no,1.758419221
B03,White-tailed Deer,no,2.373647783
B03,White-tailed Deer,no,0.357792497
B03,White-tailed Deer,no,1.426806664
B03,White-tailed Deer,no,3.145955977
B03,White-tailed Deer,no,3.913900848
B03,White-tailed Deer,no,4.612032548
B03,White-tailed Deer,no,5.279620987
B03,White-tailed Deer,no,0.445058959
B03,White-tailed Deer,no,1.42244334
B03,White-tailed Deer,no,1.653699466
B03,White-tailed Deer,no,2.609267232
B04,White-tailed Deer,no,5.131268001
B04,White-tailed Deer,no,1.758419221
B04,White-tailed Deer,no,3.695734691
B04,White-tailed Deer,no,4.21060682
B04,White-tailed Deer,no,4.372049776
B04,White-tailed Deer,no,5.846852994
B04,White-tailed Deer,no,0.986111027
B04,White-tailed Deer,no,1.802052453
B05,Wild Pig,NA,5.746496562
B05,Wild Pig,NA,4.821472059
B05,Wild Pig,NA,1.976585378
B05,White-tailed Deer,yes,4.93491846
B05,White-tailed Deer,yes,3.909537524
B05,White-tailed Deer,yes,5.078908123
B05,White-tailed Deer,yes,1.950405439
B05,White-tailed Deer,yes,2.561270677
B05,Wild Pig,NA,3.163409269
B06,White-tailed Deer,no,1.858775653
B06,White-tailed Deer,no,5.257804372
B07,White-tailed Deer,no,6.099925736
B07,White-tailed Deer,no,0.322885912
B07,White-tailed Deer,no,1.339540201
B07,White-tailed Deer,no,1.544616388
B07,White-tailed Deer,no,1.684242728
